method_name,seed,problem_id,budget_fraction,candidate_count,valid_ppa_count,valid_ppa_rate,unique_canonical_netlists,canonical_duplicate_count,unique_motif_signatures,occupied_internal_cells,occupied_common_audit_cells,pareto_size,best_fitness
sr_random_relu_pca_qd,1002,VerilogEval-Spec-to-RTL/Prob153_gshare,1.0,120,40,0.3333333333333333,28,12,25,22,4,12,0.13560291914358902
sr_random_relu_pca_qd,1003,RTLLM/Prob004_adder_8bit,0.25,30,10,0.3333333333333333,8,2,3,3,3,1,0.38154412826809186
sr_random_relu_pca_qd,1003,RTLLM/Prob004_adder_8bit,0.5,60,38,0.6333333333333333,18,20,9,14,4,7,0.38154412826809186
sr_random_relu_pca_qd,1003,RTLLM/Prob004_adder_8bit,0.75,90,57,0.6333333333333333,26,31,12,15,4,11,0.38154412826809186
sr_random_relu_pca_qd,1003,RTLLM/Prob004_adder_8bit,1.0,120,80,0.6666666666666666,38,42,15,16,4,16,0.38154412826809186
sr_random_relu_pca_qd,1003,RTLLM/Prob015_multi_pipe_8bit,0.25,30,9,0.3,8,1,6,8,1,5,0.027172138886517743
sr_random_relu_pca_qd,1003,RTLLM/Prob015_multi_pipe_8bit,0.5,60,22,0.36666666666666664,21,1,15,15,2,7,0.14999405052911494
sr_random_relu_pca_qd,1003,RTLLM/Prob015_multi_pipe_8bit,0.75,90,39,0.43333333333333335,38,1,30,20,2,16,0.21133812099450025
sr_random_relu_pca_qd,1003,RTLLM/Prob015_multi_pipe_8bit,1.0,120,58,0.48333333333333334,55,3,42,20,2,17,0.21133812099450025
sr_random_relu_pca_qd,1003,RTLLM/Prob024_fsm,0.25,30,5,0.16666666666666666,4,1,4,5,2,1,0.6834970284641851
sr_random_relu_pca_qd,1003,RTLLM/Prob024_fsm,0.5,60,13,0.21666666666666667,8,5,7,13,4,2,0.6834970284641851
sr_random_relu_pca_qd,1003,RTLLM/Prob024_fsm,0.75,90,21,0.23333333333333334,10,11,8,14,4,3,0.6834970284641851
sr_random_relu_pca_qd,1003,RTLLM/Prob024_fsm,1.0,120,29,0.24166666666666667,13,16,9,15,4,3,0.6834970284641851
sr_random_relu_pca_qd,1003,RTLLM/Prob037_parallel2serial,0.25,30,12,0.4,7,5,4,12,2,11,-0.0
sr_random_relu_pca_qd,1003,RTLLM/Prob037_parallel2serial,0.5,60,14,0.23333333333333334,9,5,4,12,2,13,-0.0
sr_random_relu_pca_qd,1003,RTLLM/Prob037_parallel2serial,0.75,90,17,0.18888888888888888,12,5,6,12,3,1,0.06325075627503886
sr_random_relu_pca_qd,1003,RTLLM/Prob037_parallel2serial,1.0,120,21,0.175,14,7,8,13,3,4,0.06325075627503886
sr_random_relu_pca_qd,1003,RTLLM/Prob041_traffic_light,0.25,30,8,0.26666666666666666,8,0,8,7,2,3,0.3649709513435004
sr_random_relu_pca_qd,1003,RTLLM/Prob041_traffic_light,0.5,60,25,0.4166666666666667,25,0,25,19,3,3,0.43778140885984024
sr_random_relu_pca_qd,1003,RTLLM/Prob041_traffic_light,0.75,90,40,0.4444444444444444,38,2,38,22,4,4,0.43778140885984024
sr_random_relu_pca_qd,1003,RTLLM/Prob041_traffic_light,1.0,120,62,0.5166666666666667,49,13,46,24,4,9,0.43778140885984024
sr_random_relu_pca_qd,1003,RTLLM/Prob045_alu,0.25,30,7,0.23333333333333334,7,0,7,7,2,3,0.38970957355936653
sr_random_relu_pca_qd,1003,RTLLM/Prob045_alu,0.5,60,18,0.3,18,0,18,14,2,1,0.4104905381431106
sr_random_relu_pca_qd,1003,RTLLM/Prob045_alu,0.75,90,40,0.4444444444444444,36,4,35,19,2,6,0.4104905381431106
sr_random_relu_pca_qd,1003,RTLLM/Prob045_alu,1.0,120,63,0.525,56,7,55,22,2,1,0.41118628030751037
sr_random_relu_pca_qd,1003,RTLLM/Prob049_signal_generator,0.25,30,21,0.7,5,16,4,18,3,21,0.23477469440256318
sr_random_relu_pca_qd,1003,RTLLM/Prob049_signal_generator,0.5,60,33,0.55,11,22,6,20,4,30,0.25984938304829974
sr_random_relu_pca_qd,1003,RTLLM/Prob049_signal_generator,0.75,90,47,0.5222222222222223,15,32,8,20,5,36,0.25984938304829974
