method_name,problem_id,retention_mode,source_valid_ppa,retained_candidate_count,retained_fraction,occupied_cells,mean_front_size,max_front_size,hypervolume,global_pareto_point_count,best_fitness,ppa_grid_occupied_cells,ppa_grid_total_cells,ppa_grid_coverage,unique_canonical_netlist_count,duplicate_netlist_count,unique_motif_signature_count,ppa_front_unique_netlist_count
netlist_motif_occupancy,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,scalar_cell_elite,34,1,0.029411764705882353,1,1.0,1,0.3148917197452229,1,0.43702052370842176,1,16,0.0625,1,0,1,1
netlist_motif_occupancy,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,bounded_local_pareto,34,4,0.11764705882352941,1,4.0,4,0.3153388909704009,4,0.43702052370842176,1,16,0.0625,2,2,2,2
netlist_motif_occupancy,VerilogEval-Spec-to-RTL/Prob030_popcount255,scalar_cell_elite,38,1,0.02631578947368421,1,1.0,1,0.0,1,0.28511627906976744,1,16,0.0625,1,0,1,1
netlist_motif_occupancy,VerilogEval-Spec-to-RTL/Prob030_popcount255,bounded_local_pareto,38,1,0.02631578947368421,1,1.0,1,0.0,1,0.28511627906976744,1,16,0.0625,1,0,1,1
netlist_motif_occupancy,VerilogEval-Spec-to-RTL/Prob105_rotate100,scalar_cell_elite,36,3,0.08333333333333333,3,1.0,1,0.0,1,0.043176166884953404,1,64,0.015625,3,0,3,1
netlist_motif_occupancy,VerilogEval-Spec-to-RTL/Prob105_rotate100,bounded_local_pareto,36,3,0.08333333333333333,3,1.0,1,0.0,1,0.043176166884953404,1,64,0.015625,3,0,3,1
synthesis_trajectory_nod,RTLLM/Prob011_multi_16bit,scalar_cell_elite,31,1,0.03225806451612903,1,1.0,1,0.0,1,0.263880966784778,1,64,0.015625,1,0,1,1
synthesis_trajectory_nod,RTLLM/Prob011_multi_16bit,bounded_local_pareto,31,4,0.12903225806451613,1,4.0,4,0.0,4,0.263880966784778,3,64,0.046875,4,0,4,4
synthesis_trajectory_nod,RTLLM/Prob019_sub_64bit,scalar_cell_elite,41,3,0.07317073170731707,3,1.0,1,0.4499369557400372,1,0.48228021147642647,2,16,0.125,3,0,3,1
synthesis_trajectory_nod,RTLLM/Prob019_sub_64bit,bounded_local_pareto,41,5,0.12195121951219512,3,1.6666666666666667,2,0.4499369557400372,1,0.48228021147642647,2,16,0.125,5,0,4,1
synthesis_trajectory_nod,RTLLM/Prob048_pe,scalar_cell_elite,26,1,0.038461538461538464,1,1.0,1,2.2508239929014454e-07,1,0.006881127714002822,1,64,0.015625,1,0,1,1
synthesis_trajectory_nod,RTLLM/Prob048_pe,bounded_local_pareto,26,4,0.15384615384615385,1,4.0,4,2.2508239929014454e-07,4,0.006881127714002822,1,64,0.015625,2,2,2,2
synthesis_trajectory_nod,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,scalar_cell_elite,31,1,0.03225806451612903,1,1.0,1,0.2724434245035594,1,0.4231863785854045,1,16,0.0625,1,0,1,1
synthesis_trajectory_nod,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,bounded_local_pareto,31,4,0.12903225806451613,1,4.0,4,0.2724434245035594,4,0.4231863785854045,1,16,0.0625,1,3,1,1
