problem_id,early_candidate_count,early_valid_ppa_count,early_valid_ppa_rate,early_style_cluster_count,early_motif_count,early_mean_lexical_distance,final_valid_ppa_count,final_best_fitness,final_hypervolume,final_front_style_cluster_count
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob064_vector3,20,15,0.75,1,1,2.275435099186054,162,-0.0,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob065_7420,20,19,0.95,2,1,2.484217983459933,177,0.4942857142857143,0.0,3
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob066_edgecapture,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob067_countslow,20,18,0.9,2,1,3.9671138261982613,182,0.11274250692424209,0.0003422508698876254,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob068_countbcd,20,10,0.5,1,1,3.390939911766154,108,0.6623602232369356,8.909678137877275e-05,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob069_truthtable1,20,19,0.95,3,1,2.8503467311860553,203,-0.0,0.0,5
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob070_ece241_2013_q2,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob071_always_casez,20,10,0.5,3,1,3.6534213289032134,177,0.15237740665886607,0.014466546112115732,3
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob072_thermostat,20,20,1.0,2,1,3.0556365098186427,178,0.0032467532467532374,0.0,6
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob073_dff16e,20,20,1.0,1,1,3.8396778967736642,180,0.6653042328042328,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob074_ece241_2014_q4,20,0,0.0,0,0,0.0,0,,0.0,0
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob075_counter_2bc,20,16,0.8,2,1,3.9214181471300167,176,0.3701126126126126,0.04146396396396395,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob076_always_case,20,19,0.95,5,1,4.1042951870330056,187,0.0378992628992629,0.0,3
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob077_wire_decl,20,20,1.0,3,1,3.4873557163139575,188,0.4946511627906977,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob078_dualedge,20,4,0.2,1,1,0.0,74,-0.0,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob079_fsm3onehot,20,15,0.75,3,1,4.2296666240744365,181,0.35654362416107377,0.1157718120805369,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob080_timer,20,15,0.75,1,1,3.1949032452533346,144,0.03635077044167955,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob081_7458,20,20,1.0,1,1,2.830786021015848,207,0.49456,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob082_lfsr32,20,3,0.15,1,1,4.200502927747795,95,0.039981804687687056,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob083_mt2015_q4b,20,19,0.95,3,1,3.1151977081364803,184,-0.0,0.0,6
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob084_ece241_2013_q12,20,15,0.75,2,1,3.5235271709428972,152,0.6641091445427728,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob085_shift4,20,17,0.85,1,1,3.4369286541748414,150,-0.0,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob086_lfsr5,20,2,0.1,1,1,3.4641016151377544,123,0.052835328697397675,0.0,1
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob087_gates,20,18,0.9,1,1,2.1448501598381657,184,-0.0,0.0,5
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob088_ece241_2014_q5b,20,19,0.95,2,1,4.508234279762221,147,0.02646834477498093,0.0,2
aspdac2026/deepseek_clean_results/VerilogEval-Spec-to-RTL/Prob089_ece241_2014_q5a,20,7,0.35,2,1,3.8963310203541335,83,0.41248681261516174,0.05236060265740996,2
